Tanggal,Deskripsi,Jumlah (Rp),Kategori,Sub-kategori,Metode Pembayaran,Catatan
2025-06-05,Pembayaran Belanja,447987.0,Pengeluaran,Belanja,Transfer Bank,
2025-06-05,Pembayaran Hiburan,14375.0,Pengeluaran,Hiburan,E-Wallet,
2025-06-05,Pembayaran Kesehatan,374121.0,Pengeluaran,Kesehatan,E-Wallet,
2025-06-05,Pembayaran Hiburan,14375.0,Pengeluaran,Hiburan,E-Wallet,
2025-06-05,Pembayaran Kesehatan,374121.0,Pengeluaran,Kesehatan,E-Wallet,
2025-06-05,Pembayaran Belanja,447987.0,Pengeluaran,Belanja,Transfer Bank,
2025-06-03,Pembayaran Transportasi,281538.0,Pengeluaran,Transportasi,Kartu Kredit,
2025-06-03,Pembayaran Transportasi,281538.0,Pengeluaran,Transportasi,Kartu Kredit,
2025-06-01,Pembayaran Hiburan,293326.0,Pengeluaran,Hiburan,Transfer Bank,
2025-06-01,Pembayaran Makanan,349727.0,Pengeluaran,Makanan,Transfer Bank,
2025-06-01,Gaji Bulanan,7000000.0,Pendapatan,Gaji,Transfer Bank,
2025-06-01,Pembayaran Hiburan,376309.0,Pengeluaran,Hiburan,Transfer Bank,
2025-06-01,Gaji Bulanan,7000000.0,Pendapatan,Gaji,Transfer Bank,
2025-06-01,Pembayaran Makanan,349727.0,Pengeluaran,Makanan,Transfer Bank,
2025-06-01,Pembayaran Hiburan,293326.0,Pengeluaran,Hiburan,Transfer Bank,
2025-06-01,Pembayaran Hiburan,376309.0,Pengeluaran,Hiburan,Transfer Bank,
2025-05-31,Pembayaran Belanja,47651.0,Pengeluaran,Belanja,Transfer Bank,
2025-05-31,Pembayaran Belanja,253089.0,Pengeluaran,Belanja,Kartu Kredit,
2025-05-31,Pembayaran Transportasi,486486.0,Pengeluaran,Transportasi,Transfer Bank,
2025-05-31,Pembayaran Belanja,253089.0,Pengeluaran,Belanja,Kartu Kredit,
2025-05-31,Pembayaran Belanja,47651.0,Pengeluaran,Belanja,Transfer Bank,
2025-05-31,Pembayaran Transportasi,486486.0,Pengeluaran,Transportasi,Transfer Bank,
2025-05-30,Pembayaran Kesehatan,70354.0,Pengeluaran,Kesehatan,Debit,
2025-05-30,Pembayaran Kesehatan,348874.0,Pengeluaran,Kesehatan,Tunai,
2025-05-30,Pembayaran Kesehatan,348874.0,Pengeluaran,Kesehatan,Tunai,
2025-05-30,Pembayaran Kesehatan,70354.0,Pengeluaran,Kesehatan,Debit,
2025-05-29,Pembayaran Lainnya,146187.0,Pengeluaran,Lainnya,Tunai,
2025-05-29,Pembayaran Lainnya,146187.0,Pengeluaran,Lainnya,Tunai,
2025-05-28,Pembayaran Makanan,246612.0,Pengeluaran,Makanan,E-Wallet,
2025-05-28,Pembayaran Lainnya,495922.0,Pengeluaran,Lainnya,E-Wallet,
2025-05-28,Pembayaran Belanja,408196.0,Pengeluaran,Belanja,Tunai,
2025-05-28,Pembayaran Lainnya,495922.0,Pengeluaran,Lainnya,E-Wallet,
2025-05-28,Pembayaran Belanja,408196.0,Pengeluaran,Belanja,Tunai,
2025-05-28,Pembayaran Makanan,246612.0,Pengeluaran,Makanan,E-Wallet,
2025-05-27,Pembayaran Transportasi,97333.0,Pengeluaran,Transportasi,Debit,
2025-05-27,Pembayaran Transportasi,97333.0,Pengeluaran,Transportasi,Debit,
2025-05-27,Pembayaran Makanan,31372.0,Pengeluaran,Makanan,Debit,
2025-05-27,Pembayaran Makanan,31372.0,Pengeluaran,Makanan,Debit,
2025-05-26,Pembayaran Hiburan,188951.0,Pengeluaran,Hiburan,Tunai,
2025-05-26,Pembayaran Belanja,306987.0,Pengeluaran,Belanja,Transfer Bank,
2025-05-26,Pembayaran Lainnya,416011.0,Pengeluaran,Lainnya,Tunai,
2025-05-26,Pembayaran Hiburan,188951.0,Pengeluaran,Hiburan,Tunai,
2025-05-26,Pembayaran Lainnya,416011.0,Pengeluaran,Lainnya,Tunai,
2025-05-26,Pembayaran Belanja,306987.0,Pengeluaran,Belanja,Transfer Bank,
2025-05-25,Pembayaran Makanan,153202.0,Pengeluaran,Makanan,Transfer Bank,
2025-05-25,Pembayaran Lainnya,71677.0,Pengeluaran,Lainnya,Transfer Bank,
2025-05-25,Pembayaran Lainnya,71677.0,Pengeluaran,Lainnya,Transfer Bank,
2025-05-25,Pembayaran Makanan,153202.0,Pengeluaran,Makanan,Transfer Bank,
2025-05-24,Pembayaran Makanan,350922.0,Pengeluaran,Makanan,Tunai,
2025-05-24,Pembayaran Makanan,107279.0,Pengeluaran,Makanan,Debit,
2025-05-24,Pembayaran Lainnya,132534.0,Pengeluaran,Lainnya,Transfer Bank,
2025-05-24,Pembayaran Lainnya,132534.0,Pengeluaran,Lainnya,Transfer Bank,
2025-05-24,Pembayaran Makanan,107279.0,Pengeluaran,Makanan,Debit,
2025-05-24,Pembayaran Makanan,350922.0,Pengeluaran,Makanan,Tunai,
2025-05-23,Pembayaran Hiburan,43972.0,Pengeluaran,Hiburan,Debit,
2025-05-23,Pembayaran Hiburan,43972.0,Pengeluaran,Hiburan,Debit,
2025-05-22,Pembayaran Hiburan,363224.0,Pengeluaran,Hiburan,Tunai,
